bundle,type,count,error
scenario/scenario_alm-os-da00201-2.unity3d,BoxCollider,126,
scenario/scenario_alm-os-da00201-2.unity3d,MonoScript,59,
scenario/scenario_alm-os-da00201-2.unity3d,ParticleSystem,53,
scenario/scenario_alm-os-da00201-2.unity3d,ParticleSystemRenderer,53,
scenario/scenario_alm-os-da00201-2.unity3d,AnimatorController,41,
scenario/scenario_alm-os-da00201-2.unity3d,TextAsset,31,
scenario/scenario_alm-os-da00201-2.unity3d,Material,13,
scenario/scenario_alm-os-da00201-2.unity3d,PlayableDirector,10,
scenario/scenario_alm-os-da00201-2.unity3d,Sprite,7,
scenario/scenario_alm-os-da00201-2.unity3d,Camera,2,
scenario/scenario_alm-os-da00201-2.unity3d,CanvasGroup,2,
scenario/scenario_alm-os-da00201-2.unity3d,PreloadData,1,
scenario/scenario_alm-os-da00201-2.unity3d,AssetBundle,1,
scenario/scenario_alm-os-da00201-2.unity3d,AnimatorOverrideController,1,
scenario/scenario_alm-os-da00201-2.unity3d,RenderSettings,1,
scenario/scenario_alm-os-da00201-2.unity3d,LightmapSettings,1,
scenario/scenario_alm-os-da00201-2.unity3d,NavMeshSettings,1,
scenario/scenario_alm-os-da00201-2.unity3d,Canvas,1,
scenario/scenario_alm-os-da00201-2.unity3d,LightingSettings,1,
scenario/scenario_alm-os-da00201.unity3d,MonoBehaviour,58,
scenario/scenario_alm-os-da00201.unity3d,MonoScript,35,
scenario/scenario_alm-os-da00201.unity3d,GameObject,32,
scenario/scenario_alm-os-da00201.unity3d,Transform,16,
scenario/scenario_alm-os-da00201.unity3d,RectTransform,16,
scenario/scenario_alm-os-da00201.unity3d,CanvasRenderer,9,
scenario/scenario_alm-os-da00201.unity3d,Animator,6,
scenario/scenario_alm-os-da00201.unity3d,PlayableDirector,5,
scenario/scenario_alm-os-da00201.unity3d,AnimationClip,3,
scenario/scenario_alm-os-da00201.unity3d,Camera,2,
scenario/scenario_alm-os-da00201.unity3d,PreloadData,1,
scenario/scenario_alm-os-da00201.unity3d,AssetBundle,1,
scenario/scenario_alm-os-da00201.unity3d,RenderSettings,1,
scenario/scenario_alm-os-da00201.unity3d,LightmapSettings,1,
scenario/scenario_alm-os-da00201.unity3d,NavMeshSettings,1,
scenario/scenario_alm-os-da00201.unity3d,Canvas,1,
scenario/scenario_alm-os-da00201.unity3d,LightingSettings,1,
scenario/scenario_alm-os-ni00201.unity3d,AnimationClip,644,
scenario/scenario_alm-os-ni00201.unity3d,MonoBehaviour,203,
